,Credits,Departments,Description,Number,Title,Unique_ID
2164,1 Credit Hour.,dsa,"Prerequisites: departmental permission; graduate standing. This course focuses on meteorology data that is stored regularly in space and time, so-called gridded data. For example, satellite or forecast data that is stored in a specific latitude-longitude grid, and available at uniform increments in time. Analysis of gridded data is abetted by programming in Python, offering an array syntax that exploits the uniformity of data. (Irreg.)",5021,Data Analytics Applied to Meteorology Data,dsa-5021
2165,1 Credit Hour.,dsa,"Prerequisite: graduate standing and departmental permission. A solid foundation in statistics and linear regression is helpful. Learn to use ""quasi-experimental"" methods to establish causal relationships in observational data. Learn the ideas behind the techniques of regression discontinuity, difference-in-difference, synthetic control, and propensity score matching; investigate how these methods can distinguish causality from correlation. Use real-world data sets to practice and master each technique. (Irreg.)",5031,Quasi-Experimental Methods in Econometrics,dsa-5031
2166,3 Credit Hours.,dsa,"(Crosslisted withISE 5103) Prerequisite: graduate standing or permission of instructor;ISE 3293orISE 5013; CS 1313 or CS 1323. In our society, data is rapidly increasing in volume, velocity, and variety. At the same time computing power and the sophistication of data analysis techniques are increasing. However, even with the expanding capabilities, businesses and organizations often find themselves ""data rich, but information poor."" Intelligent Data Analysis is a holistic approach to addressing real-world data intensive problems that integrates human intuition with data analysis tools to best draw out meaningful insights. To this end, the course has four underlying themes: defining the Problem, understanding and coping with Data, selecting and using appropriate Analytical Tools, and discovering and communicating the Insight. Techniques covered include data cleansing and pre-processing, exploratory analysis and visualization, dimension reduction, linear and logistic regression, decision trees, and clustering. This course will introduce students to a powerful open source statistical programming language (R) and include extensive hands-on data analysis and team projects. (F)",5103,Intelligent Data Analytics,dsa-5103
2168,3 Credit Hours.,dsa,"Prerequisite: DSA/ISE/C S graduate standing or Departmental permission. This course will cover data mining and time series analysis. Modules include: statistical estimation, transformations and decomposition of time series, quantifying correlation structure in standard models, forecasting methods, linear least squares method, and volatility models. Students will utilize MATLAB Time Series Tool Box and open source programs in R. (Irreg.)",5203,Time Series Analysis,dsa-5203
2169,3 Credit Hours.,dsa,"Prerequisite: departmental permission or DSA/ISE/C S graduate standing. Course focuses on use of optimization and stochastic models to solve portfolio optimization problems; price derivative securities including energy and weather derivatives; and applications of financial engineering, including algorithmic trading, financial networks, pricing of real options, and the use of machine learning in pricing. Data driven models and big data mining in financial engineering will be also discussed. (Irreg.)",5303,Financial Engineering Analytics,dsa-5303
2187,3 Credit Hours.,eacs,"Prerequisite: graduate standing.  School administrators need to draw on knowledge and competencies related to the inquiry process, measurement and assessment, and data collection, analysis, and interpretation to lead continuous improvement.  Inquiry for performance improvement is designed to develop the capacity of school leaders to manage effective performance by applying competencies of organizational research and development to the design and implementation of a balanced approach to performance management. (F, Sp)",5403,Inquiry for Performance Improvement,eacs-5403
2189,3 Credit Hours.,eacs,"Prerequisite: graduate standing. Focuses upon the clinical supervision of the classroom environment, instructional procedures and the evaluation of teaching through the processes of observation and consultation. Participants develop control of the instrumentation and procedures which enable them to gather, display and interpret data relevant to the evaluation of classroom environments. (F, Sp)",5573,Supervision of Instruction,eacs-5573
2208,3 Credit Hours.,eacs,"Prerequisite: graduate standing. Introduces graduate students to concepts, methods, and issues in qualitative research as it is used in educational settings. Draws attention to epistemological and ethical concerns in social science and to strategic and logistical issues in the conduct of field research. Both positivist and interpretive approaches to the use of qualitative methods will be explored. Concept and theory building, strategies and techniques, and discussions of different issues of reliability and validity in the use of qualitative data will be emphasized. (F)",6133,Qualitative Inquiry for Practitioners,eacs-6133
2218,3 Credit Hours.,eacs,"Prerequisites: graduate standing andEACS 6023,6713, and 6970. The course is intended to help provide advanced graduate students with necessary analytical skills to become effective consumers of research, and to produce an effective doctoral dissertation. The course focuses on skills related to formulation of research problems, developing research proposals, collection, analysis and interpretation of data. (Fa, Su)",6673,Advanced Inquiry,eacs-6673
2257,3 Credit Hours.,ece,"(Slashlisted withECE 5433) Prerequisite:ECE 3793or instructor permission or systems course in another major. Fundamentals of data acquisition and control. A series of design projects in data acquisition, logging and real-time analysis. Includes machine vision and image processing as well as vibration, motion and real-time control. No student may earn credit for both 4433 and 5433. (F)",4433,Measurement and Automation,ece-4433
2260,3 Credit Hours.,ece,"(Slashlisted with 5623) Prerequisite: 3223.  Design of modern digital computing circuits, computer arithmetic, number systems, state machines, control units, data transfer, bus interfacing, VHDL language elements and usage, circuit simulation.  No student may earn credit for both 4623 and 5623. (F)",4623,Computer Hardware Design,ece-4623
2282,3 Credit Hours.,ece,"Prerequisite: 3223. Provides formal background in asynchronous sequential circuit design (fundamental mode circuits, races, hazards and pulse mode design), followed by a treatment of standard interface conventions for data transmission and reception and a discussion of priority interrupt systems. Finally, the use of A/D and D/A converters is presented. (Sp)",5253,Digital Systems Interfaces,ece-5253
2294,3 Credit Hours.,ece,"(Slashlisted withECE 4433) Prerequisite: graduate standing, ENGR 3723 or Math Numerical Methods,ECE 3793or instructor permission or systems course in another major. Fundamentals of data acquisition and control. A series of design projects in data acquisition, logging and real-time analysis. Includes machine vision and image processing as well as vibration, motion and real-time control. No student may earn credit for both 4433 and 5433. (F)",5433,Measurement and Automation,ece-5433
2300,3 Credit Hours.,ece,"Prerequisite: 3793. The ways and means by which voice, data and video traffic are moved long distances. Topics include data networks, telephone systems, video, and optical systems. (F)",5553,Telecommunications Technology,ece-5553
2303,3 Credit Hours.,ece,"(Slashlisted with 4623) Prerequisite: 3223. Design of modern digital computing circuits, computer arithmetic, number systems, state machines, control units, data transfer, bus interfacing, VHDL language elements and usage, circuit simulation. No student may earn credit for both 4623 and 5623. (F)",5623,Computer Hardware Design,ece-5623
2307,3 Credit Hours.,ece,"(Slashlisted with 4673, Crosslisted withMETR 5673) Prerequisite: graduate standing, grade of C or better in Math 3113 and Physics 2524, or permission of instructor. Introduction to electromagnetic waves and propagation through the atmosphere, radar design trade-offs, antennas, transmitters, and coherent receivers; analysis of radar signals as noise-corrupted stochastic processes, with emphasis on digital signal processing for Doppler spectrum and moment estimation; implementation of processing algorithms using actual Doppler radar data. No student may earn credit for both 4673 and 5673. (F)",5673,Weather Radar Theory and Practice,ece-5673
2325,3 Credit Hours.,ece,"(Crosslisted withBME 6213) Prerequisite:ECE 5213and ECE 5353. Application of Fourier transforms, linear systems, and diffraction theory to the analysis of optical systems. Emphasis is on the use of optical systems for information processing, including image enhancement, pattern recognition, data processing, optical switching, and computing. (F)",6213,Optical Information Processing,ece-6213
2336,3 Credit Hours.,econ,"Prerequisite: a grade of C or better in Mathematics 1503 or 1743 or 1823. Basic statistical techniques emphasizing business and economic applications. Topics covered include data summary techniques, elementary probability theory, estimation, hypothesis testing, simple regression, time-series and index numbers. Laboratory (F, Sp, Su) [I-M]
.",2843,Elements of Statistics,econ-2843
2354,3 Credit Hours.,econ,"Prerequisite:  a grade of C or better in 1113, 1123, and 2843. Introduces students to the use of modern econometric techniques in economics. Topics include time series and dynamic emulation models, panel data, two stages least squares, simultaneous equation models, limited dependent variable models (logit, probit), and sample selection corrections. The course will have a strong orientation toward empirical applications. (Sp)",4233,Introduction to Applied Econometrics,econ-4233
2379,3 Credit Hours.,econ,"Prerequisite: graduate standing. Measurement of micro- and macro-economic relations, both static and dynamic. Comparative statics and dynamics; practical use of inference from non-experimental data. Identification and estimation problems. (Irreg.)",5213,Advanced Econometrics,econ-5213
2381,3 Credit Hours.,econ,"Prerequisite: Graduate standing andECON 4223,ECON 5213orECON 5023; or permission of instructor. This class will provide an overview of the data science workflow, from collecting raw data to drawing a set of insights from which a decision maker can make informed decisions. The course will broadly cover a variety of advances in data collection, data storage, visualization, machine learning, and econometrics topics, as well as teaching and reinforcing good programming practices. (F, Sp)",5253,Data Science for Economists,econ-5253
2396,3 Credit Hours.,econ,"Prerequisite: 5243. Topics and techniques in advanced econometric methods including time-series analysis and/or panel data analysis. May include applications in time-series econometrics such as ARMA models and VAR techniques; and applications in panel data econometrids including fixed effects, random effects and dynamic models. (F)",6343,Econometrics III,econ-6343
2417,3 Credit Hours.,edah,"Prerequisite: graduate standing. Course content includes: (a) recent history; (b) social, technological and economic factors associated with changes in educational philosophy with consequences for lifelong learning: (c) trend data on adult enrollments by socio-economic, racial, ethnic and other factors; (d) major providers; (e) research and issues concerning adult learning ability, adult development, stresses upon the adult learner, teaching adults, etc. (F)",5013,The Adult Learner,edah-5013
2420,3 Credit Hours.,edah,"Prerequisite: graduate standing. Recommend specific prior enrollment -- see adviser. An introduction to data collection and analysis, research methods (experimental, quasi-experimental, qualitative), and statistics used in adult and higher education. (F, Sp, Su)",5043,Introduction to Research in Adult and Higher Education,edah-5043
2450,3 Credit Hours.,edah,"Prerequisite: graduate standing. Provides instruction and practices in evaluation strategies to improve learning and performance outcomes in educational and workplace settings. Major foci of the course will be on comparing various approaches of evaluation, planning and designing program evaluation, and managing evaluation project. Students will have opportunities to analyze evaluation data and develop evaluation report for instructional and organizational decision making. (F, Sp)",5553,Evaluation Strategies for Learning and Performance,edah-5553
2484,3 Credit Hours.,edah,"Prerequisite: graduate standing. Graduate students should produce a presentable conference paper and/or publishable article. Explores the various assumptions that are found across the array of epistemological and paradigmatic approaches to educational research. Students will become familiar with terminology, methodology, methods, tools for analysis (or lack-thereof) across such approaches. The initial research or inquiry paper will most likely need more related theory, description of methodology, and substantially enhanced data collection and analysis. Students must identify a potential journal outlet, a sample article, and critique the sample article to inform their own research processes. In addition, students will teach their selected methodology while applying this methodology to their own study. (F, Sp)",6943,In-Depth Approaches to Qualitative Inquiry in Educational Research,edah-6943
2541,3 Credit Hours.,edec,"Prerequisite: graduate standing. The purpose of this course is to expand student's knowledge of qualitative methods in educational research, more specifically addressing the unique methods required when children are involved in the research process. The course has both a theoretical and applied focus. First, we examine how qualitative research is used in educational research. We will discuss qualitative methods as an interpretive inquiry focusing on topics such as the development and use of theory, kinds and interpretation of data, and issues of reliability. We will compare the different methods and methodologies used by researchers. Students will analyze and critique research articles using ideas and concepts discussed in the required texts and in class. Second, students will engage in a pilot study of their own in which they apply and experience qualitative research for themselves. Here students will develop a question, examine their own theoretical position, conduct a review of the literature, collect data, and produce a research paper. Together, these two approaches will introduce students to the main questions, concerns and goals of qualitative research. (Irreg.)",6433,Methods in Qualitative Research with Young Children,edec-6433
2592,4 Credit Hours.,eden,"Prerequisite:EDEN 3223, senior standing. Development of expertise in teaching the language arts at the secondary level, including classroom management, planning, data-based decision-making, and delivery of great lessons. 35 hours of field work in local schools. Written reports. (Sp) [V].",4914,The Teaching of English,eden-4914
2603,3 Credit Hours.,eden,Prerequisite: graduate standing. Study of issues and methods involved with research in English education. May include experience in the collection and analysis of data. (Irreg.),5253,Research in English Education,eden-5253
2639,3 Credit Hours.,edlt,"Prerequisite: senior standing and admission to OU-Tulsa early childhood education program. Acquaints early childhood preservice teachers with foundations of reading and writing development in kindergarten and the primary grades, including a comprehensive literacy curriculum for reading, writing, and oral language learning how to assess literacy understandings, use data to plan instruction, evidence based developmentally appropriate instructional practices and materials to support children becoming independent conventional readers, writers, and language users by the end of third grade. (F)",4123,Language and Literacy Development in Kindergarten through 3rd,edlt-4123
2641,3 Credit Hours.,edlt,"Prerequisite:EDLT 3713,EDLT 3711,EDEL 4101; corequisite:EDMA 4353,EDSC 4193,EDSS 4323,EDEL 4980. Issues and factors related to language and literacy assessment, evaluation, and instruction, and best practices for developing proficiency in supporting children's language and literacy development in K-8. Administration and interpretation of assessments and use of the data to inform instructional decisions and select appropriate strategies to help children become strategic readers and writers. (F, Sp, Su)",4713,Data Driven Instruction in Language and Literacy,edlt-4713
2971,3 Credit Hours.,edsp,Prerequisite:EDSP 3053andEDSP 4013andEDSP 4023andEDSP 4033; corequisite:EDSP 4043andEDSP 4063andEDSP 4072. Competencies developed include: understanding language and literacy development; 32 hours tutoring; formal/informal literacy assessments; implementation of guided reading lesson plans; data collection monitoring; phonics/decoding; literal/inferential/prediction comprehension; fluency and written expression; research to practice; development of learning strategies enhancing content and literacy. (Sp),4053,"Language, Literacy, and Communication Strategies",edsp-4053
2988,3 Credit Hours.,edsp,"Prerequisite: graduate standing. Applied behavior analysis principles and techniques, including observational analysis, data-based instruction, and social validity to increase students' social and task related behavior. Students learn procedures to increase or decrease target behavior, to facilitate behavior maintenance and generalization, and to evaluate effectiveness of instruction. (F)",5143,Applied Behavior Analysis in School Settings,edsp-5143
3098,1 Credit Hour.,eipt,"Operation in both Mac and Windows environments. Use of word processing, database, spreadsheet, and telecommunications software to solve educational information communication and management problems. Laboratory (F, Sp, Su)",3011,Productivity Tools for Education,eipt-3011
3111,3 Credit Hours.,eipt,"Prerequisite: graduate standing in the College of Education, or permission of instructor. A brief review of descriptive statistics, introduction to basic inferential statistics, and analysis of variance. Topics covered include data screening and cleaning, correlation, simple regression, oneway ANOVA, factorial ANOVA, analysis of covariance, repeated-measures designs, and nonparametric techniques. Focus is on computer-based data analysis, and substantive conceptualization and interpretation of results. (F, Su)",5023,Analysis of Quantitative Data I,eipt-5023
3143,3 Credit Hours.,eipt,"Prerequisite:EIPT 5033or permission of instructor. Topics include qualitative research traditions, qualitative designs, data collection techniques, qualitative data analysis. Students design, conduct, and analyze their own qualitative study during the course. (F, Sp - even years)",6043,Qualitative Research Methods,eipt-6043
3146,3 Credit Hours.,eipt,"Prerequisite:EIPT 6043or permission of instructor. Topics include qualitative research design, data analysis, data interpretation, theory building, and write-up. Students should have qualitative data ready to analyze before enrolling in the course. (Sp)",6083,Qualitative Research Methods II,eipt-6083
3153,3 Credit Hours.,eipt,"Prerequisite: 5203 or permission of instructor. Students in this course will have the opportunity to design items for assessments, collect data, and develop them into items that will produce reliable and valid scores. Measures and procedures in affective (e.g., Likert-type, semantic differential) and cognitive (e.g., true/false, multiple choice) instrument development will be covered. Topics including scaling techniques, methods of obtaining score reliability, use of human participants, manuscript preparation, and current methodological advances will be discussed. (F)",6203,Instrument Development,eipt-6203
3179,2 Credit Hours.,emba,"Prerequisites: graduate standing, EMBA students only. Understanding and applying quantitative methods and models in the context of energy management. The content of this course is organized around three modules: summarizing quantitative data; relating and comparing data; and, predicting outcomes based on sample data. The topics covered in these modules include descriptive statistics, associative statistics, regression, multiple regression, and inferential statistics. (Irreg.)",5062,Quantitative Methods and Models,emba-5062
3745,3 Credit Hours.,g_e,(Crosslisted with GEOL andP E 6283) Prerequisite: graduate standing or permission of instructor. This course is designed to explore the seismic response of rocks and how it is related to petrophysical parameters. This understanding is key to interpretation of seismic data in terms of subsurface rocks and fluids. (F),6283,Seismic Reservoir Modeling,g_e-6283
3781,4 Credit Hours.,geog,"Prerequisite: junior standing, completion of a lower division general education math requirement. Introduces students to methods of collecting, organizing, and describing data, focusing specifically on environmental and geographical applications. Students also learn basic concepts of probability and statistical inference. The overall objective is to develop an understanding of statistical literacy as it is applied to geographical and sustainability related issues. Laboratory (F, Sp) [I-M].",3924,Quantitative Methods,geog-3924
3782,1-4 Credit Hours.,geog,"1 to 4 hours. Prerequisite: twelve hours of geography or permission of instructor. May be repeated with change of subject matter; maximum credit six hours. Basic methods of data acquisition: surveying, measuring, sampling, sketching, and mapping. Individual and group projects may be required. (Irreg.)",3930,Field Techniques for Geographers,geog-3930
3838,3 Credit Hours.,geog,Prerequisite: 4553 or 5553. May be repeated with change of content; maximum credit nine hours. Discusses and practices principles in GIS interface design and project management; integration of spatial data and spatial models with GIS; and spatial decision support systems (SDSS). Students will gain knowledge about the theoretical aspects of GIS technology. (Sp),5623,Seminar in GIS Design,geog-5623
3839,1-6 Credit Hours.,geog,"1 to 6 hours. Prerequisite: 3930 or permission. May be repeated; maximum credit twelve hours. Advanced work in techniques of data acquisition: surveying, measuring, sampling, collection, analysis, sketching, and mapping. Individual and group projects may be required. (Irreg.)",5650,Advanced Field Studies,geog-5650
3850,1-3 Credit Hours.,geog,"1 to 3 hours. Prerequisite: twelve hours of geography or permission. May be repeated with change of subject matter; maximum credit 15 hours. Directed individual research studies in one of the major aspects of resource or environmental geography. Provides training in collection and analysis of data in oral, written and cartographic presentation. (Irreg.) 

Sec. 1 - Environmental Geography
Sec. 2 - Natural Resources
Sec. 3 - Water Resources
Sec. 4 - Land Use
Sec. 5 - Energy Resources
Sec. 6 - Mineral Resources
Sec. 7 - Applied Climatology 

.",6240,Seminar in Resource and Environmental Geography,geog-6240
3872,3 Credit Hours.,geol,"Prerequisite: Junior standing and one Natural Science General Education course 1000-level or higher, or instructor permission. Content will include the carbon cycle, rock/tectonic cycle, and water/climate cycle. Students will explore, through data analysis, processes that lead to the formation, distribution and variation of fossil fuels, mineral deposits, and lake and grassland ecosystems. These concepts will be highlighted through Oil/Gas Development, Mineral Mining, Land-use and Climate Change. (Fall) (F) [II-NL].",3023,The Geology of Natural Resources in Sub-Saharan Africa,geol-3023
3895,3 Credit Hours.,geol,"Prerequisite:GEOL 4133and majors only. Addresses the concepts and methods of subsurface petroleum analysis. The petroleum system is evaluated through geological, petrophysical, subsurface mapping, and 3-D reservoir modeling methods using drill cuttings, core, well logs, production data, and 3-D seismic data. (Sp)",4233,Subsurface Methods,geol-4233
3904,3 Credit Hours.,geol,"Prerequisite: senior standing with a major in geology and permission. May not be repeated. Individual research of a geological topic selected by the student in consultation with the instructor. The project may involve fieldwork, theoretical analysis, computer modeling, and/or data analysis and interpretation, culminating in a written thesis. (F, Sp, Su)",4983,Senior Thesis in Geology,geol-4983
3933,3 Credit Hours.,geol,(Crosslisted with G E andP E 6283) Prerequisite: graduate standing or permission of instructor. This course is designed to explore the seismic response of rocks and how it is related to petrophysical parameters. This understanding is key to interpretation of seismic data in terms of subsurface rocks and fluids. (F),6283,Seismic Reservoir Modeling,geol-6283
3994,3 Credit Hours.,gis,"(Slashlisted withGIS 5013) Prerequisite:GIS 2023. Designed to help students learn introductory to intermediate concepts of geographic information science (GIScience) and become proficient users of geographic information systems (GIS). The course covers a variety of topics but focuses on GIS data models, data structures, and spatial analysis. Teaching formats include lectures, in-class exercises and lab exercises. No student may earn credit for both 4013 and 5013. (F, Sp)",4013,Fundamentals of Geographic Information Systems,gis-4013
4001,3 Credit Hours.,gis,"(Slashlisted withGIS 5653) Prerequisite:GIS 4013, upper-division standing or permission of instructor. Introduces students to geocomputation concepts, spatial programming skills and computational approaches to spatial data services and spatial problem solving. No student can earn credit for both 4653 and 5653. (F)",4653,Spatial Programming and GIS,gis-4653
4002,3 Credit Hours.,gis,"(Slashlisted withGIS 5733; Crosslisted withPBIO 4733) Prerequisite: either a course or hands-on experience in remote sensing, GIS, statistical analysis, computer programming, or permission of the instructor and adviser. Course develops comprehensive knowledge and advanced skills of remote sensing, to apply to the study of the structure, composition, and functions of vegetation, landscapes, and the biosphere. Students will learn hyperspectral data acquisition and analysis; field survey methods; land cover classification from multiple sensors, time series data; and estimation of biophysical and biochemical parameters. Includes image processing software and algorithms. No student may earn credit for both 4733 and 5733. (Sp)",4733,Environmental Remote Sensing,gis-4733
4007,3 Credit Hours.,gis,"(Slashlisted withGIS 4013) Prerequisite: graduate standing. Designed to help students learn introductory to intermediate concepts of geographic information science (GIScience) and become proficient users of geographic information systems (GIS). The course covers a variety of topics but focuses on GIS data models, data structures, and spatial analysis. Teaching formats include lectures, in-class exercises and lab exercises. No student may earn credit for both 4013 and 5013. (F, Sp)",5013,Fundamentals of Geographic Information Systems,gis-5013
4013,3 Credit Hours.,gis,"(Slashlisted withGIS 4653) Prerequisite: graduate standing andGIS 4013/GIS 5013. Introduces students to geocomputation concepts, spatial programming skills, and computational approaches to spatial data services and spatial problem solving. No student may earn credit for both 4653 and 5653. (F)",5653,Spatial Programming and GIS,gis-5653
4014,3 Credit Hours.,gis,"(Slashlisted withGIS 4733; Crosslisted withPBIO 5733) Prerequisite: graduate standing, and either a course or hands-on experience in remote sensing, GIS, statistical analysis, computer programming, or permission of the instructor and adviser. Course develops comprehensive knowledge and advanced skills of remote sensing, to apply to the study of the structure, composition, and functions of vegetation, landscapes, and the biosphere. Students will learn hyperspectral data acquisition and analysis; field survey methods; land cover classification from multiple sensors, time series data; and estimation of biophysical and biochemical parameters. Includes image processing software and algorithms. No student may earn credit for both 4733 and 5733. (Sp)",5733,Environmental Remote Sensing,gis-5733
4028,3 Credit Hours.,gphy,"Prerequisite:GEOL 1114,MATH 2924orMATH 2423,PHYS 2514, andGEOL 3003. Fundamentals of the utilization of geological and geophysical data in the exploration for and development of petroleum reserves. Fundamental principles, geological and geophysical data acquisition, processing and interpretation. (F)",3423,Introductory Petroleum Geology and Geophysics,gphy-3423
4034,3 Credit Hours.,gphy,"Prerequisite: 4113; Geology 3123; or permission of instructor. Students become familiar with field methods in geophysics and apply principles of geophysical methods to survey design, data acquisition, data processing, and interpretation. Students plan geophysical surveys, collect field geophysical data in small groups, interpret the acquired datasets in terms of earth structure, and learn about the tectonics and structure of the front range of the Rocky Mountains. Field course is taught at the OU field camp near Canon City, Colorado, and is predominantly field based. Three-week field experience required. (Su) [V].",4133,Colorado Field Geophysics,gphy-4133
4037,3 Credit Hours.,gphy,"Prerequisite: senior standing with a major in geophysics and permission. May not be repeated. Individual research of a geophysical topic selected by the student in consultation with the instructor. The project may involve fieldwork, theoretical analysis, computer modeling, and/or data analysis and interpretation, culminating in a written thesis. (F, Sp, Su) [V].",4953,Senior Thesis in Geophysics,gphy-4953
4044,3 Credit Hours.,gphy,"Prerequisite: graduate standing or permission of instructor. Principles of seismic stratigraphy, seismic geomorphology, structural geology, and rock physics to interpret seismic reflection data and associated attributes to delineate faults, fractures, folds, fluvial-deltaic complexes, turbidites, mass transport complexes, karst, and other structural and stratigraphic features of interest. Course is intended for graduate students in geophysics, geology, and petroleum engineering. Laboratory (F)",5513,3-D Seismic Interpretation,gphy-5513
4045,3 Credit Hours.,gphy,"Prerequisite:GPHY 4874or equivalent andMATH 3333. Theory and application of seismic signal analysis to modern 3-D surface seismic surveys including sorting, statics, deconvolution, coherent noise suppression, velocity analysis and migration. At the end of the course, the student will be able to apply appropriate modern work flows to 3-D land data surveys resulting in prestack time migrated images amenable to AVO, attribute, and velocity anisotropy analysis. (Sp)",5523,3-D Seismic Processing,gphy-5523
4047,3 Credit Hours.,gphy,"Prerequisite: Physics 2524, Mathematics 3333, or permission. Introduction to the stratigraphic interpretation of reflection seismic data, emphasizing 2-D exploration seismic reflection group analysis. Topics covered include the theory and practice of borehole constrained interpretation, analysis, and mapping of seismic sequences, fault mechanical stratigraphy, chronostratigraphy, seismic facies, relative changes in sea level, and integrated geohistory analysis with emphasis upon providing a foundation for petroleum system analysis. Seismic sections for the analyses are taken from varying tectonic and depositional settings worldwide. (Alt. F)",5613,Introduction to Seismic Stratigraphy,gphy-5613
4062,3 Credit Hours.,grad,"Prerequisite: Graduate Standing. Earth Observation Science for Society and Sustainability (EOS3) is an interdisciplinary certificate program consisting of a four-course certificate (Interdisciplinary EOS3, EOS3 Data Analytics, EOS3 Interface, and EOS3 Practicum) designed to provide students with advanced training in interdisciplinary communication, leadership, and data science skills. This course serves as the introduction to Interdisciplinary EOS3 and the processes by which effective science team are formed and become productive. Students will gain experience in working with interdisciplinary teams to leverage their disciplinary expertise and work with those with other expertise to address societal concerns. (F)",5103,Interdisciplinary EOS3,grad-5103
4063,3 Credit Hours.,grad,"Prerequisite: graduate standing. Focuses on using large, open-source civil Earth observation and other geospatial data. Introduces students to various open-source data tools for acquiring, managing, and analyzing large public data sets. Students will work in interdisciplinary teams to fuse disparate data and conduct analyses that meld ideas from natural and social science disciplines. The student teams will be comprised of members with varied skill sets to establish a culture of collaborative teaching and learning. (F)",5203,EOS3 Data Analytics,grad-5203
4130,3 Credit Hours.,h_r,"Prerequisite: junior standing or permission of instructor. Examines the biological, psychological, and sociological perspectives and research, and addresses the role of social forces and social institutions in juvenile delinquency.  Explores different approaches to understanding delinquency, social factors that contribute to delinquency, and analyzes current research and data related to juvenile delinquency.  Also explores the full range of programs and philosophies involved in the attempt to moderate juvenile crime and delinquency.  No student may earn credit for both 4733 and 5733. (F, Sp)",4733,Juvenile Justice and Delinquency Prevention,h_r-4733
4196,3 Credit Hours.,h_r,"Prerequisite: graduate standing or permission of instructor. Examines the biological, psychological, and sociological perspectives and research, and addresses the role of social forces and social institutions in juvenile delinquency. Explores different approaches to understanding delinquency, social factors that contribute to delinquency, and analyzes current research and data related to juvenile delinquency. Also explores the full range of programs and philosophies involved in the attempt to moderate juvenile crime and delinquency. No student may earn credit for both 4733 and 5733. (F, Sp)",5733,Juvenile Justice and Delinquency Prevention,h_r-5733
4205,3 Credit Hours.,h_r,"Prerequisites:H R 5143or graduate standing or permission of department. This course examines the ever growing field that is Human Resource Information Systems (HRIS). Specifically, students will explore the metamorphosis of human resource technology; how it has gone from situational asset to mandatory strategic business partner across the Human Resource Management gamut. Designed to develop an awareness and appreciation of the nature and use of data and information systems in organizations, this course will introduce students to the various HRIS systems utilized by organizations and the associated analysis, design, and implementation of those systems. Additionally, this course will illuminate the many rewarding career opportunities available within the HRIS discipline. (Irreg.)",5863,Human Resources for the HR Prof Fundamentals of Human Resource Information Systems,h_r-5863
4323,3 Credit Hours.,hes,"Prerequisite: graduate standing and permission of instructor. The objective of this course is to analyze methodologies used to track/monitor the loads imposed on athletes during training and competition. The validity, reliability, and efficacy of methodologies will be evaluated. Students will review performance testing, data acquisition, and data analysis and will develop data visualizations that relay the status of an athlete to the sports performance team. (F)",5313,Athlete Tracking and Monitoring in Sports,hes-5313
4328,3 Credit Hours.,hes,"Prerequisite: graduate standing and permission of instructor. Examination of the processes used to evaluate health promotion and health education programs. Includes: needs assessment, quality assurance evaluation, summarative evaluation, data analysis, and cost benefit analysis strategies. (Irreg.)",5553,Health Promotion Evaluation,hes-5553
4335,3 Credit Hours.,hes,"Prerequisite: graduate standing, and one or more of the following:HES 5953,MIT 5742,EIPT 6023,ECON 4233,PSY 5013, orMATH 5773; or permission of instructor. Sports analytics refers to the use of data and quantitative methods to measure performance and make decisions within a sports business. This course builds on statistics courses and is designed to help students develop and apply analytical skills using various sports contexts. The primary objective is to help students understand what data can and cannot do for sport organizations. (Sp)",5903,Sports Performance Analytics,hes-5903
4339,3 Credit Hours.,hes,"Prerequisite: graduate standing or permission of instructor. The application of techniques used to organize, analyze, and interpret statistical data unique to health and exercise science. Topics include measures of central tendency, measures of variability, percentiles, sampling, correlation, regression, standard scores, and tests of significance through repeated measures ANOVA and including parametric, non-parametric tests. (Irreg.)",5963,Statistical Applications in Health and Exercise Science,hes-5963
4674,3 Credit Hours.,i_d,"Prerequisite: Graduate standing in College of Architecture or permission of instructor. Focus is on the software used to introduce basic functions of (Building Information Modeling) BIM. Topics concentrate on techniques and methods for creating building parts, the production of construction documents, and renderings. Tools are also introduced for material and construction analysis as well as costing and scheduling data. (F)",5163,Design Computation Visualization and Analysis,i_d-5163
4920,1-3 Credit Hours.,ise,"1 to 3 hours. Prerequisite: permission of instructor. May be repeated with change of content; maximum credit twelve hours. Special topics in the various fields of industrial engineering -- data analysis, engineering financial analysis, human factors, manufacturing, operations research, production, simulation, sustainability, systems. (Irreg.)",4970,Special Topics/Seminar,ise-4970
4925,3 Credit Hours.,ise,"(Crosslisted withDSA 5103) Prerequisite: graduate standing or permission of instructor;ISE 3293orISE 5013; CS 1313 or CS 1323. In our society, data is rapidly increasing in volume, velocity, and variety. At the same time computing power and the sophistication of data analysis techniques are increasing. However, even with the expanding capabilities, businesses and organizations often find themselves ""data rich, but information poor."" Intelligent Data Analysis is a holistic approach to addressing real-world data intensive problems that integrates human intuition with data analysis tools to best draw out meaningful insights. To this end, the course has four underlying themes: defining the Problem, understanding and coping with Data, selecting and using appropriate Analytical Tools, and discovering and communicating the Insight. Techniques covered include data cleansing and pre-processing, exploratory analysis and visualization, dimension reduction, linear and logistic regression, decision trees, and clustering. This course will introduce students to a powerful open source statistical programming language (R) and include extensive hands-on data analysis and team projects. (F)",5103,Intelligent Data Analytics,ise-5103
